age,weight,income,year_of_experience,married
47,66,77950,2,0.0
28,64,139650,8,0.0
32,76,154650,10,0.0
49,71,74700,2,0.0
47,78,100150,4,1.0
28,77,170900,11,0.0
19,76,191200,13,0.0
31,73,137000,8,0.0
60,76,155650,9,1.0
55,60,133650,7,1.0
32,69,129450,7,0.0
31,69,162800,10,0.0
26,70,192050,13,0.0
43,78,134250,8,1.0
52,73,120900,7,0.0
21,68,185400,13,0.0
55,74,170500,10,1.0
33,72,129350,7,0.0
48,69,243200,18,0.0
40,78,125000,7,1.0
46,66,86400,3,1.0
22,70,102500,4,0.0
56,64,169750,11,1.0
53,67,114200,6,1.0
49,81,122300,7,1.0
33,72,125200,6,0.0
48,72,190300,12,1.0
36,66,167000,11,1.0
53,75,130450,7,1.0
24,75,144750,8,0.0
66,66,218650,16,1.0
39,68,229850,17,0.0
46,71,93550,3,1.0
53,67,156250,9,0.0
36,74,266900,21,1.0
53,72,187600,13,1.0
40,61,153350,9,1.0
46,74,114050,5,1.0
20,75,111250,5,0.0
32,71,106350,5,1.0
42,62,193350,13,1.0
47,65,148400,9,1.0
49,69,164800,9,0.0
49,63,163950,11,1.0
37,70,194050,14,0.0
63,61,156000,10,0.0
31,67,195750,13,0.0
32,72,156800,9,1.0
54,73,175100,12,1.0
21,75,156600,10,0.0
49,74,138100,8,1.0
48,66,113650,6,1.0
25,72,140650,8,0.0
28,69,184450,13,0.0
62,67,86850,3,1.0
41,65,103850,5,1.0
43,68,95900,4,1.0
22,60,163650,10,0.0
28,70,306600,25,0.0
63,69,92650,4,1.0
40,71,154600,10,1.0
62,74,165250,9,1.0
57,65,155000,10,0.0
52,74,222650,17,1.0
55,73,130150,7,1.0
65,66,165150,10,0.0
57,76,171450,12,0.0
35,63,224750,17,0.0
59,75,150650,9,1.0
63,69,198000,15,1.0
53,70,131100,6,1.0
65,74,133650,6,0.0
58,73,165800,10,1.0
31,66,91750,4,0.0
25,77,189100,13,0.0
27,67,120150,7,0.0
22,74,154300,8,0.0
43,69,158850,10,0.0
45,70,116700,6,1.0
59,72,80500,3,1.0
36,62,139450,9,1.0
60,65,184400,11,1.0
30,71,152300,9,1.0
31,73,310700,25,0.0
35,75,188200,13,0.0
61,68,118900,6,1.0
28,72,98500,4,0.0
67,74,176700,12,1.0
46,69,211100,15,1.0
27,84,178850,11,0.0
36,64,136000,8,0.0
21,75,84200,3,0.0
25,65,198350,14,0.0
56,61,162500,10,1.0
38,70,118400,6,1.0
60,65,137150,8,1.0
67,66,115800,6,1.0
44,69,136800,8,1.0
57,77,161850,10,0.0
45,68,160700,10,1.0
23,73,158000,10,0.0
29,75,168450,11,0.0
26,72,179550,13,0.0
37,70,123900,7,0.0
36,67,180750,12,0.0
29,69,275250,21,0.0
65,70,98400,4,1.0
44,69,132200,7,1.0
38,68,84550,3,1.0
27,73,127650,7,0.0
60,67,173900,11,1.0
47,79,194000,13,1.0
34,65,189750,13,0.0
37,75,148900,8,0.0
19,71,301150,23,0.0
55,71,133650,7,1.0
52,64,257100,19,0.0
30,64,115300,6,0.0
44,69,127800,6,1.0
44,73,193850,13,1.0
38,83,203950,13,0.0
43,74,135850,9,1.0
32,76,152950,10,0.0
52,65,183600,12,1.0
29,64,210300,15,0.0
67,86,162250,11,0.0
24,67,186150,13,0.0
32,77,173350,12,0.0
34,68,199700,14,0.0
33,69,143700,9,0.0
22,71,187600,12,0.0
51,70,269050,20,1.0
20,76,190650,13,0.0
41,69,128450,6,0.0
31,74,89150,3,0.0
39,68,178350,12,0.0
22,66,221950,15,0.0
64,71,170300,12,1.0
32,68,324700,26,0.0
25,70,152700,9,0.0
19,72,193450,13,0.0
48,71,147000,7,0.0
18,73,105700,5,0.0
57,62,130700,7,1.0
19,70,215750,16,0.0
64,75,164400,11,0.0
54,65,120750,6,1.0
18,70,164850,11,0.0
34,74,149750,9,0.0
46,76,221800,16,1.0
24,70,121950,6,0.0
39,73,123150,7,1.0
33,65,212850,16,0.0
58,63,142900,9,0.0
65,70,105600,5,1.0
49,69,152700,9,1.0
54,75,165550,11,0.0
29,73,227300,17,0.0
32,76,153950,10,0.0
32,65,244450,19,0.0
67,71,155000,10,1.0
57,65,177350,12,1.0
55,70,124250,6,1.0
34,63,166800,11,1.0
59,66,163850,10,0.0
56,66,193250,13,1.0
40,67,72250,1,0.0
26,63,127750,6,0.0
59,66,118900,6,0.0
63,69,236200,18,1.0
42,73,139000,7,1.0
55,65,89900,3,0.0
63,66,240400,18,1.0
40,74,272450,22,1.0
46,78,82700,3,0.0
52,73,158000,10,1.0
25,69,128250,5,0.0
57,70,244250,17,1.0
53,78,96850,4,1.0
26,69,150700,9,0.0
54,72,188800,13,0.0
20,65,167000,11,0.0
57,66,218750,17,0.0
55,68,120800,7,1.0
19,80,103900,4,0.0
66,66,161650,11,1.0
39,64,89500,4,1.0
31,66,102650,5,0.0
49,67,97650,4,1.0
67,66,125900,7,1.0
21,73,243500,19,0.0
40,73,184700,13,0.0
53,72,220050,15,1.0
29,73,118350,5,0.0
44,73,216200,16,1.0
25,65,152150,10,0.0
45,76,197550,14,1.0
46,66,87050,1,0.0
67,60,187050,12,1.0
30,73,208050,15,0.0
65,73,101000,5,1.0
51,63,109800,5,1.0
43,68,138250,8,0.0
28,67,214800,15,0.0
44,71,162300,10,0.0
60,67,98650,4,1.0
60,67,124050,7,1.0
56,67,111700,5,1.0
22,64,158300,7,0.0
67,64,212950,15,0.0
57,63,131600,8,1.0
26,71,131750,8,0.0
19,75,138000,8,0.0
41,74,134650,8,0.0
24,65,100700,4,0.0
61,68,138400,7,1.0
38,72,145600,8,1.0
49,74,129150,7,0.0
44,74,167750,11,0.0
33,71,97300,3,1.0
57,78,154700,10,1.0
57,68,111700,6,1.0
48,74,122550,6,1.0
43,75,162800,10,0.0
54,66,130100,8,1.0
22,67,76000,2,0.0
56,75,150100,10,1.0
58,61,209950,15,1.0
46,64,229400,16,1.0
63,64,93400,3,1.0
46,75,95650,4,1.0
40,70,132400,7,1.0
58,66,206300,15,0.0
57,70,100900,4,1.0
38,67,127300,7,1.0
32,66,118000,6,0.0
45,81,200950,14,1.0
33,64,107750,5,0.0
61,60,158250,10,1.0
23,71,159450,10,0.0
26,79,166000,9,0.0
66,72,190400,12,1.0
33,68,192600,12,1.0
66,69,91650,4,1.0
29,74,122500,6,0.0
43,65,118000,5,1.0
49,66,124550,7,1.0
26,74,162850,10,0.0
36,66,167550,11,1.0
66,69,105250,6,1.0
53,69,112200,5,0.0
67,77,153850,9,1.0
67,67,107650,4,1.0
21,74,193550,13,0.0
33,67,100400,5,0.0
34,70,157150,10,1.0
39,74,156900,10,0.0
63,66,89300,3,0.0
61,74,221000,15,1.0
43,73,110400,5,0.0
62,70,132200,7,1.0
44,71,215300,15,0.0
19,70,101350,4,0.0
56,65,193750,13,1.0
22,70,158500,11,0.0
45,73,202450,15,1.0
37,68,130800,7,1.0
48,71,187850,13,1.0
20,72,219000,16,0.0
22,77,133800,7,0.0
24,63,242450,18,0.0
66,63,125250,6,1.0
29,75,182950,12,0.0
46,70,282650,22,0.0
65,70,131250,7,1.0
25,70,222900,16,0.0
43,60,216300,15,0.0
42,73,124750,7,0.0
26,69,124000,6,0.0
23,71,98150,3,0.0
63,64,164150,10,1.0
20,75,182200,12,0.0
44,69,174150,12,1.0
55,65,103350,4,0.0
66,79,377000,31,1.0
28,73,131550,6,0.0
66,70,210250,15,0.0
18,77,167500,10,0.0
57,75,141650,8,1.0
44,78,97900,4,0.0
33,72,195650,12,0.0
26,68,151200,8,0.0
46,81,163800,11,0.0
42,87,98000,4,1.0
53,74,114050,5,1.0
39,75,134200,7,1.0
49,68,185300,13,0.0
40,64,162700,10,0.0
48,63,176050,12,1.0
27,75,92200,3,0.0
66,81,248150,18,1.0
38,67,115700,6,0.0
55,73,132500,8,1.0
22,70,115700,6,0.0
35,77,119550,7,1.0
29,64,171250,11,1.0
57,67,178050,12,1.0
57,74,103550,4,1.0
53,77,113600,6,1.0
60,72,128200,7,1.0
67,71,143250,9,1.0
22,72,176600,11,0.0
27,56,270300,21,0.0
60,70,163300,9,1.0
37,65,129550,7,0.0
67,78,227600,18,1.0
28,79,161250,10,0.0
27,72,153200,10,0.0
66,70,146450,9,1.0
30,61,204300,15,0.0
18,68,147350,9,0.0
67,81,130700,7,1.0
67,61,185950,12,1.0
35,85,142800,8,1.0
46,68,134750,8,1.0
62,64,133700,7,1.0
18,68,127750,7,0.0
57,76,98050,3,1.0
25,69,114000,5,0.0
63,72,117650,6,1.0
28,66,124850,6,0.0
62,70,146600,9,0.0
58,66,100300,4,1.0
48,67,213900,16,0.0
22,74,106000,5,0.0
42,74,126600,6,1.0
22,71,150550,9,0.0
48,64,191350,14,1.0
51,75,148250,9,1.0
22,74,115750,6,0.0
22,74,170950,12,0.0
62,70,103300,3,1.0
50,65,132750,7,1.0
20,70,120050,6,0.0
53,76,145000,8,0.0
53,77,204200,14,1.0
20,73,126550,7,0.0
59,69,105400,5,1.0
37,64,209350,16,0.0
35,77,207550,15,0.0
23,65,149350,9,0.0
51,80,113750,6,0.0
53,71,198300,12,0.0
29,68,135350,7,0.0
42,63,113150,6,1.0
41,64,114650,6,1.0
18,76,208650,15,0.0
37,64,199300,13,1.0
25,65,203650,15,0.0
28,76,114050,5,0.0
21,67,122400,7,0.0
63,64,139700,9,1.0
59,62,119350,6,1.0
29,72,163050,10,0.0
21,74,111100,6,0.0
21,62,137550,8,0.0
18,71,140100,8,0.0
37,70,127950,7,1.0
24,79,94800,4,0.0
66,67,99800,4,0.0
46,67,165100,11,1.0
38,68,171500,11,1.0
55,71,145700,9,1.0
18,75,167850,11,0.0
41,69,159000,10,0.0
31,67,130700,7,1.0
30,65,181550,13,1.0
49,74,96000,4,1.0
60,72,140550,8,1.0
43,79,248800,19,1.0
60,67,137600,8,1.0
47,78,118900,6,1.0
44,64,137650,8,1.0
25,73,107400,5,0.0
20,68,168000,11,0.0
51,72,148450,9,1.0
24,65,173350,11,0.0
46,78,261050,20,1.0
36,64,133500,7,0.0
35,69,176300,11,0.0
59,76,139850,8,1.0
33,65,143550,9,0.0
22,61,188450,13,0.0
26,67,233950,17,0.0
47,69,110950,4,0.0
29,74,175400,11,0.0
55,70,134000,7,1.0
62,69,137950,8,0.0
57,74,117500,5,1.0
22,70,137700,8,0.0
49,60,209250,13,1.0
39,67,161650,10,0.0
37,68,174600,12,1.0
26,63,135800,8,0.0
54,70,99300,4,1.0
31,84,118700,5,0.0
52,68,200750,14,1.0
60,75,151700,10,1.0
32,66,236200,17,1.0
34,71,126250,5,0.0
20,71,130900,8,0.0
67,76,247200,19,1.0
29,63,234050,18,0.0
61,67,139350,8,0.0
45,67,177250,10,1.0
55,75,90400,4,0.0
42,69,152900,10,0.0
62,72,134900,7,1.0
45,60,194900,13,1.0
42,73,155650,10,0.0
64,69,173550,11,1.0
67,67,87250,3,0.0
65,73,181800,12,1.0
58,72,228450,15,1.0
42,72,301950,25,1.0
49,74,161750,10,0.0
41,76,225000,16,1.0
23,72,208050,16,0.0
49,70,141650,8,1.0
44,74,164400,10,0.0
24,68,179100,11,0.0
20,73,207600,15,0.0
65,66,212350,15,1.0
53,82,131400,7,0.0
37,68,134900,8,0.0
48,69,207150,14,1.0
61,65,95950,4,1.0
37,70,215550,15,0.0
66,80,152750,9,0.0
27,68,272500,22,0.0
58,66,116150,6,1.0
35,67,154250,10,0.0
43,73,185500,13,0.0
45,77,187300,12,0.0
20,68,231450,18,0.0
41,66,191750,13,1.0
53,70,190700,13,1.0
37,69,183250,12,0.0
67,66,174750,12,1.0
39,68,118150,6,1.0
53,73,124950,6,1.0
25,67,172250,11,0.0
56,66,157800,9,0.0
50,68,144150,9,1.0
64,80,160050,8,1.0
36,74,171250,11,1.0
26,73,200700,14,0.0
43,72,228500,17,1.0
41,72,124400,7,1.0
40,63,147450,8,1.0
22,64,135450,7,0.0
41,67,127300,7,1.0
57,68,142300,8,1.0
27,72,101550,4,0.0
28,76,218500,16,0.0
32,69,161800,9,1.0
48,74,96100,4,1.0
65,72,110550,5,1.0
19,73,96550,3,0.0
46,67,194300,13,1.0
40,64,149900,9,1.0
39,65,140500,8,0.0
44,67,131150,7,1.0
27,73,255400,20,0.0
64,64,161400,10,1.0
58,71,187950,13,0.0
35,77,111000,6,1.0
18,73,160000,10,0.0
52,73,213050,15,1.0
60,73,150850,10,1.0
36,76,141250,7,1.0
45,71,133100,8,1.0
59,79,254300,19,1.0
47,72,125700,6,1.0
19,70,185750,12,0.0
49,67,116900,5,1.0
26,72,127700,8,0.0
57,64,203150,14,0.0
44,79,92800,3,0.0
30,69,217850,16,0.0
64,67,155750,9,1.0
44,66,136500,8,1.0
24,77,144250,7,0.0
63,64,113300,5,1.0
37,73,174100,12,1.0
42,66,71950,1,0.0
36,68,169150,10,0.0
38,73,136050,7,0.0
22,77,104350,5,0.0
41,76,137100,9,0.0
66,63,159800,10,1.0
53,66,145800,9,0.0
26,73,265700,21,0.0
29,64,189500,13,0.0
40,70,140700,7,1.0
34,65,150550,9,1.0
58,73,94950,4,1.0
64,72,78150,3,0.0
60,65,188900,13,1.0
47,61,173900,12,0.0
58,70,230000,16,1.0
63,84,157200,9,0.0
59,69,131050,8,1.0
24,75,96400,3,0.0
56,74,145900,9,1.0
67,66,263750,20,1.0
46,68,139600,8,1.0
60,67,123150,6,0.0
35,77,117500,6,1.0
31,62,160150,10,0.0
52,66,116000,6,1.0
49,66,207450,15,0.0
64,79,160050,10,1.0
62,69,149400,9,0.0
28,72,243100,18,0.0
27,71,224050,16,0.0
47,73,165950,11,0.0
36,67,143300,9,1.0
23,75,111250,5,0.0
26,71,214750,16,0.0
49,75,208250,15,0.0
52,66,222600,16,1.0
59,74,229750,17,1.0
24,70,86350,3,0.0
40,64,180150,12,1.0
24,75,238800,18,0.0
52,72,94600,4,0.0
59,64,124100,6,1.0
33,74,194400,12,0.0
41,67,319200,26,1.0
35,62,104400,4,0.0
64,65,115400,6,1.0
61,74,183200,13,0.0
64,69,159300,11,1.0
19,71,154000,8,0.0
47,71,173950,10,1.0
59,66,110800,6,0.0
30,79,141250,8,0.0
29,73,172850,11,0.0
64,74,165400,11,1.0
42,69,135600,7,0.0
61,73,127450,7,1.0
31,70,110550,6,0.0
35,70,144350,9,0.0
25,64,142100,9,0.0
26,75,244650,19,0.0
31,59,139300,8,0.0
58,74,205650,14,1.0
64,58,175800,12,1.0
51,82,192000,13,1.0
19,75,183200,12,0.0
41,68,125700,7,0.0
55,75,170500,12,1.0
42,63,171950,12,1.0
33,72,113950,4,1.0
52,65,93450,4,1.0
52,76,207900,15,1.0
39,69,139050,8,1.0
61,72,165050,11,1.0
66,78,145650,9,1.0
38,68,174700,12,0.0
55,66,107950,4,0.0
30,72,139500,7,1.0
58,68,190400,13,1.0
52,66,117050,5,1.0
27,71,144500,7,0.0
19,64,112500,5,0.0
38,68,75150,2,0.0
65,67,146650,8,1.0
21,63,163250,10,0.0
38,68,163250,10,1.0
46,76,149100,9,1.0
39,79,85700,2,1.0
48,70,102650,4,1.0
37,75,207250,15,1.0
26,73,104600,5,0.0
66,66,186100,13,1.0
48,75,157200,9,1.0
65,59,120400,6,0.0
43,70,164050,10,0.0
32,68,189850,14,0.0
55,68,162800,10,1.0
31,67,83750,3,0.0
38,79,155150,9,0.0
61,74,113200,5,1.0
38,70,136350,8,0.0
43,68,144250,8,1.0
57,72,145250,9,1.0
51,70,106600,5,1.0
42,70,163900,11,0.0
40,66,258400,20,1.0
20,70,129650,6,0.0
51,71,156000,10,1.0
53,86,230900,18,1.0
27,71,113650,6,0.0
51,72,139600,8,1.0
35,77,74250,2,0.0
41,77,173500,10,1.0
21,65,95600,4,0.0
26,75,224900,16,0.0
65,66,173050,12,1.0
52,71,111350,5,1.0
30,60,106600,5,0.0
35,69,224850,15,1.0
46,66,134000,6,0.0
39,78,226150,16,1.0
37,71,156000,10,0.0
33,78,89200,4,1.0
24,76,143500,8,0.0
46,59,118350,6,1.0
18,70,164900,11,0.0
38,67,147950,9,1.0
61,69,207550,15,1.0
41,68,187150,12,0.0
63,79,183250,10,1.0
34,65,93550,4,0.0
65,76,89900,3,1.0
48,71,116850,6,0.0
45,67,184300,11,0.0
32,67,158600,10,0.0
51,68,220650,14,1.0
29,66,219850,15,1.0
40,67,205700,14,0.0
23,73,280850,22,0.0
24,73,287150,23,0.0
60,72,212900,16,1.0
61,72,155800,9,1.0
64,66,104850,5,1.0
28,71,108800,5,0.0
30,80,127150,6,0.0
20,64,124050,7,0.0
44,63,122050,6,1.0
49,74,105200,4,0.0
61,73,226850,17,1.0
47,70,192250,13,0.0
47,71,179150,11,1.0
66,75,155150,9,0.0
49,63,156450,10,1.0
67,84,174900,12,1.0
54,74,90600,4,1.0
54,66,154800,9,1.0
57,72,174450,11,1.0
43,64,158700,10,1.0
46,68,180700,13,0.0
61,68,130250,7,1.0
52,69,113800,6,1.0
28,75,159050,10,0.0
65,65,87050,3,1.0
30,80,148450,9,0.0
31,71,99900,4,0.0
61,79,212750,16,1.0
55,67,113600,5,0.0
33,77,153250,10,0.0
18,72,150600,9,0.0
56,64,204650,14,1.0
49,65,116000,5,1.0
51,63,142750,9,1.0
21,71,213350,16,0.0
46,72,296450,23,1.0
40,69,222500,17,1.0
21,65,161350,11,0.0
49,67,196650,13,1.0
41,69,92700,4,1.0
40,74,109100,5,1.0
20,66,121600,7,0.0
27,69,126350,6,0.0
20,66,136550,8,0.0
39,71,143300,7,1.0
49,67,123400,7,0.0
22,75,153600,9,0.0
35,84,191900,14,0.0
63,70,143300,8,1.0
48,70,136800,7,1.0
47,65,145250,8,0.0
28,82,86800,3,0.0
51,65,129250,6,0.0
48,71,170750,10,1.0
63,65,228000,17,0.0
49,68,108250,5,1.0
56,69,181450,12,1.0
49,73,170650,11,1.0
21,65,177700,12,0.0
31,73,137700,8,0.0
42,81,115050,6,1.0
25,64,122700,6,0.0
24,66,190750,13,0.0
21,72,179550,11,0.0
18,65,222600,16,0.0
48,80,184400,12,1.0
43,74,139150,8,0.0
67,65,137050,8,1.0
56,78,250500,18,1.0
31,65,248000,19,0.0
36,64,70500,1,0.0
42,62,201800,14,1.0
51,72,160300,10,1.0
38,74,109950,5,1.0
45,66,201150,14,1.0
47,65,141750,9,1.0
35,65,133200,8,1.0
21,70,135850,7,0.0
35,78,127050,6,0.0
63,68,107500,5,0.0
29,62,137900,8,0.0
52,60,294650,22,1.0
64,73,124950,6,1.0
38,72,150300,9,0.0
45,67,153850,10,1.0
58,63,167400,11,1.0
48,67,110300,5,0.0
23,73,143500,9,0.0
19,71,112500,6,0.0
43,63,139700,8,1.0
55,75,145800,9,0.0
63,67,143400,8,0.0
31,68,191600,12,0.0
45,73,179000,12,1.0
65,70,87000,2,1.0
19,71,160450,10,0.0
39,72,93750,4,1.0
23,67,135600,8,0.0
66,69,121150,6,1.0
45,69,210950,15,0.0
37,75,187550,13,1.0
22,69,124650,7,0.0
26,72,117300,6,0.0
41,69,119700,6,1.0
57,64,187650,12,1.0
25,70,172150,11,0.0
31,75,104150,5,1.0
28,75,176950,12,0.0
44,73,168050,10,0.0
26,74,159050,9,0.0
46,71,136050,8,0.0
52,67,196000,13,1.0
25,82,100000,5,0.0
51,75,249650,18,0.0
56,74,229850,17,1.0
57,71,156250,9,1.0
63,67,95750,4,1.0
48,65,202700,14,0.0
24,71,192850,13,0.0
60,82,147300,9,1.0
23,79,208350,15,0.0
19,73,139450,8,0.0
66,72,110850,6,1.0
48,74,177100,11,0.0
52,69,225000,17,0.0
61,71,129000,7,1.0
50,67,123000,6,1.0
35,81,174800,11,1.0
53,72,152600,10,0.0
34,68,139450,8,0.0
67,69,133700,8,1.0
47,83,92950,4,0.0
64,62,135000,8,1.0
66,65,205750,15,1.0
23,78,149300,9,0.0
56,69,127250,7,0.0
35,73,92600,4,1.0
66,67,154400,10,1.0
33,69,197200,14,0.0
65,63,206950,15,1.0
22,78,118750,6,0.0
48,68,105850,5,1.0
22,73,201300,15,0.0
31,70,135500,7,0.0
57,65,134600,8,1.0
36,72,187750,12,1.0
63,72,146500,9,0.0
43,74,144750,9,1.0
43,68,157950,10,1.0
24,66,124650,6,0.0
63,84,125800,7,1.0
50,65,94300,4,1.0
31,72,191100,14,0.0
56,67,213700,15,1.0
48,77,186600,13,0.0
47,66,162700,9,1.0
66,72,178600,12,1.0
41,63,102300,4,0.0
23,75,118750,6,0.0
30,66,104500,5,0.0
29,74,164300,11,0.0
64,72,134700,8,1.0
61,62,178450,12,0.0
60,72,221550,16,0.0
28,70,156200,11,0.0
36,74,203500,15,0.0
22,75,143000,9,0.0
59,66,99700,4,1.0
63,66,98850,5,1.0
22,72,184050,12,0.0
54,74,200150,14,0.0
57,67,184800,13,1.0
62,72,224000,16,1.0
46,72,210200,15,0.0
18,68,155450,10,0.0
45,70,196500,13,1.0
30,70,138650,8,1.0
41,66,130150,6,0.0
51,74,106400,5,1.0
56,74,142400,9,1.0
27,72,139250,8,0.0
53,70,155250,10,0.0
62,73,143950,9,1.0
33,66,85050,3,0.0
50,76,108250,4,0.0
49,69,195900,13,0.0
38,68,145750,9,0.0
39,68,135250,7,1.0
45,68,115300,6,0.0
58,74,119100,5,1.0
20,72,278300,21,0.0
21,65,102100,5,0.0
25,83,196150,14,0.0
31,75,150500,8,0.0
64,59,175200,11,1.0
31,68,127400,6,0.0
45,66,148000,9,1.0
64,76,100050,5,1.0
25,72,175350,12,0.0
55,69,160500,11,0.0
28,66,160600,11,0.0
26,79,143750,8,0.0
63,75,130750,6,1.0
37,75,133650,7,1.0
35,62,118100,6,1.0
29,72,117750,6,0.0
46,69,143700,9,0.0
66,76,141750,8,1.0
39,72,98950,5,0.0
18,62,140400,9,0.0
25,75,155550,10,0.0
38,67,161350,10,1.0
36,74,157650,10,0.0
31,69,122550,5,0.0
30,73,124450,7,1.0
32,66,158000,10,0.0
52,66,231800,18,0.0
46,70,114600,6,1.0
22,68,141250,8,0.0
61,72,124450,6,1.0
35,64,180250,12,0.0
37,65,116750,6,0.0
30,74,90000,2,0.0
23,70,108800,5,0.0
22,59,120950,7,0.0
49,65,145300,8,1.0
21,66,76750,1,0.0
55,66,210950,15,1.0
33,64,175400,12,0.0
21,60,154300,10,0.0
46,76,135300,7,1.0
25,67,128900,8,0.0
44,71,170450,11,0.0
55,70,172100,12,1.0
20,71,168150,10,0.0
42,71,174750,11,0.0
29,69,170300,11,0.0
24,70,123550,6,0.0
33,69,126800,6,1.0
35,64,76950,2,1.0
31,70,138250,8,0.0
29,73,193100,13,0.0
61,77,155350,10,0.0
32,74,132750,7,0.0
25,69,190000,12,0.0
29,65,133800,8,0.0
18,72,97800,3,0.0
26,62,224550,17,0.0
43,80,180650,13,1.0
61,71,76950,2,1.0
44,80,183250,12,0.0
44,60,118750,6,1.0
57,66,99300,4,1.0
41,67,173200,11,1.0
47,73,182650,13,1.0
53,78,250650,19,0.0
54,73,94750,4,1.0
22,80,146450,8,0.0
35,76,207100,15,0.0
52,72,182750,12,1.0
41,68,242050,19,0.0
18,67,106900,4,0.0
57,72,128200,6,1.0
49,75,267950,21,0.0
44,66,109250,3,1.0
67,65,215800,15,1.0
44,71,120150,6,0.0
30,66,131600,7,0.0
59,78,136150,8,1.0
32,75,144950,8,1.0
47,72,179750,12,1.0
48,68,256900,20,1.0
55,75,191500,13,1.0
41,65,107300,4,1.0
25,69,171900,11,0.0
55,68,118250,5,1.0
36,67,131400,8,0.0
56,69,190500,13,1.0
21,74,230750,17,0.0
57,66,240500,18,1.0
49,75,129750,7,1.0
18,73,207000,15,0.0
33,73,160600,10,0.0
30,64,164800,10,0.0
63,66,94800,3,0.0
65,61,161050,11,1.0
35,65,121750,7,0.0
29,79,148300,8,0.0
32,78,83350,3,0.0
26,76,188950,13,0.0
24,67,168300,11,0.0
26,68,143350,9,0.0
52,63,122200,7,1.0
18,71,171350,11,0.0
22,70,216600,15,0.0
33,69,90650,4,0.0
26,69,99050,4,0.0
26,69,95950,4,0.0
29,65,159050,10,0.0
19,66,209550,15,0.0
67,64,188750,13,0.0
38,70,168300,11,0.0
35,72,189000,14,0.0
53,67,164200,9,1.0
53,67,178450,12,1.0
19,66,100700,5,0.0
57,65,208500,15,1.0
42,75,146500,8,0.0
21,68,240300,18,0.0
63,72,170200,10,1.0
39,66,178150,11,0.0
38,71,186900,12,0.0
37,67,167350,11,1.0
21,67,172600,12,0.0
60,66,132650,7,1.0
50,82,290000,23,1.0
53,69,193700,13,0.0
53,64,130950,6,1.0
18,66,124000,6,0.0
64,58,142000,8,1.0
25,71,113700,5,0.0
26,72,126800,7,0.0
28,79,82900,2,0.0
23,71,190450,12,0.0
38,70,134600,7,0.0
64,72,138400,8,1.0
53,75,256450,20,1.0
51,73,107050,5,1.0
42,79,105550,5,1.0
43,69,127900,7,0.0
48,76,256600,19,1.0
60,70,117300,7,1.0
48,75,116400,5,1.0
54,72,143400,8,1.0
55,69,137100,8,0.0
42,60,128350,7,0.0
30,75,102300,4,0.0
42,64,228500,17,1.0
33,68,108400,5,0.0
40,60,130700,7,0.0
28,61,192650,13,0.0
20,74,150100,9,0.0
62,76,146150,7,1.0
37,75,137900,8,1.0
63,72,178700,12,1.0
22,68,155750,10,0.0
57,71,152350,9,1.0
64,85,176650,11,1.0
65,73,100300,4,0.0
62,71,157500,11,0.0
49,65,174000,12,0.0
25,69,147250,9,0.0
29,65,142300,8,0.0
43,74,268800,22,0.0
59,76,158100,10,1.0
32,72,202000,14,0.0
33,64,171450,10,0.0
51,69,218350,14,1.0
66,69,145900,9,1.0
51,77,188500,13,1.0
51,72,161800,10,1.0
37,84,140100,9,0.0
40,75,127650,7,1.0
55,76,159950,10,1.0
61,70,196250,13,1.0
19,79,116600,5,0.0
39,82,215000,16,1.0
53,70,146700,9,1.0
42,72,96750,4,0.0
35,71,154100,9,0.0
38,68,172850,11,1.0
63,65,142600,7,1.0
55,73,220750,16,1.0
44,67,145250,8,1.0
25,66,159850,11,0.0
25,73,108600,6,0.0
24,66,171650,12,0.0
57,71,141250,8,1.0
20,58,168200,11,0.0
54,76,212250,15,1.0
28,68,246850,18,0.0
31,62,163800,10,0.0
48,77,186250,11,1.0
54,71,91550,4,1.0
52,72,95200,4,1.0
32,63,95350,4,0.0
29,73,164950,11,0.0
43,65,132350,8,0.0
28,68,100200,4,0.0
38,70,115450,5,1.0
24,71,138750,8,0.0
28,69,144400,8,0.0
34,64,97700,4,1.0
63,70,156700,10,0.0
47,74,162600,11,1.0
27,69,105850,5,0.0
25,68,239450,19,0.0
29,70,216300,15,0.0
28,70,153450,10,0.0
26,62,74400,2,0.0
58,70,144750,8,0.0
47,74,114300,5,1.0
37,71,150200,10,0.0
44,76,196700,13,1.0
46,78,153600,9,0.0
66,65,145700,9,1.0
28,76,167850,10,0.0
63,66,133950,8,0.0
48,75,127100,7,1.0
33,73,119200,6,0.0
30,68,203000,13,0.0
26,76,138500,8,0.0
63,76,182300,13,1.0
53,64,220850,16,1.0
33,69,210500,14,0.0
53,71,132300,7,1.0
48,65,144150,9,1.0
29,70,232900,16,0.0
50,71,138300,8,1.0
35,67,208300,15,0.0
32,66,172850,11,1.0
55,76,120800,6,1.0
48,67,124700,7,1.0
32,65,160050,10,1.0
31,70,104300,5,0.0
66,64,149500,9,1.0
59,72,168600,11,1.0
21,67,152900,8,0.0
36,63,136300,8,0.0
24,70,220400,14,0.0
53,65,222250,16,1.0
64,60,153750,9,1.0
38,62,167850,11,0.0
28,74,159450,10,0.0
63,72,147000,9,1.0
39,74,161600,9,1.0
47,65,89300,3,1.0
50,75,151150,10,1.0
62,76,164000,11,1.0
29,70,145900,8,0.0
22,68,161550,10,0.0
20,71,188700,13,0.0
